chrom	start	end	log_pvalue	file_id	experiment	subtissue	tissue
chr1	9922	10283	7.10044	ENCFF026YOC	ENCSR909ZLE	chorion	Placenta
chr1	9933	10575	14.14643	ENCFF219SMW	ENCSR643TBI	chorionic villus	Placenta
chr1	9943	10570	38.96418	ENCFF677BHR	ENCSR606WJA	chorionic villus	Placenta
chr1	9951	10563	11.99843	ENCFF286ERH	ENCSR499IIR	chorion	Placenta
chr1	9954	10557	39.57289	ENCFF778VTG	ENCSR717HIA	placenta	Placenta
chr1	9957	10569	42.21459	ENCFF477MXB	ENCSR526RGE	placental basal plate	Placenta
chr1	10039	10453	3.33603	ENCFF457YRY	ENCSR066GUY	placental basal plate	Placenta
chr1	10040	10589	4.40041	ENCFF745JHJ	ENCSR955XFL	trophoblast	Placenta
chr1	79010	79808	23.24507	ENCFF294GNO	ENCSR792VLP	transverse colon	Colon
chr1	79015	79839	18.34851	ENCFF515KEX	ENCSR792VLP	transverse colon	Colon
chr1	136407	136948	6.34208	ENCFF382EMP	ENCSR981UJA	right lobe of liver	Liver
chr1	136407	136975	8.13514	ENCFF355UWI	ENCSR981UJA	right lobe of liver	Liver
chr1	139278	139485	2.41944	ENCFF297NSU	ENCSR498ZRC	placenta	Placenta
chr1	180679	181036	5.10949	ENCFF778VTG	ENCSR717HIA	placenta	Placenta
chr1	181861	182202	6.49817	ENCFF874GTL	ENCSR028QEA	placenta	Placenta
chr1	183669	183949	5.22950	ENCFF154ZCF	ENCSR687ZCM	muscle of leg	Muscle
chr1	184321	184622	11.43473	ENCFF154ZCF	ENCSR687ZCM	muscle of leg	Muscle
chr1	189884	190349	14.63252	ENCFF300SDH	ENCSR207FYD	dorsolateral prefrontal cortex	Brain
chr1	189897	190356	11.79337	ENCFF155FWO	ENCSR830EXC	dorsolateral prefrontal cortex	Brain
chr1	189926	190303	15.80478	ENCFF712CHB	ENCSR344PHP	dorsolateral prefrontal cortex	Brain
chr1	189932	190312	11.81756	ENCFF283HUT	ENCSR786VUJ	dorsolateral prefrontal cortex	Brain
chr1	189941	190305	10.60432	ENCFF925RBS	ENCSR668DIS	dorsolateral prefrontal cortex	Brain
chr1	189952	190271	7.63380	ENCFF024XNY	ENCSR889TEU	dorsolateral prefrontal cortex	Brain
chr1	189959	190283	11.60786	ENCFF672SGH	ENCSR326YRW	dorsolateral prefrontal cortex	Brain
chr1	189960	190289	5.90889	ENCFF189UQY	ENCSR051QLZ	dorsolateral prefrontal cortex	Brain
chr1	189980	190281	13.00045	ENCFF319KZD	ENCSR524MPL	dorsolateral prefrontal cortex	Brain
chr1	190565	192106	43.00689	ENCFF775HKR	ENCSR726WVB	substantia nigra	Brain
chr1	190575	192122	44.37242	ENCFF105SAZ	ENCSR608XIG	temporal lobe	Brain
chr1	190585	191780	19.59384	ENCFF236DDT	ENCSR014TDK	temporal lobe	Brain
chr1	190587	192082	101.17563	ENCFF155FWO	ENCSR830EXC	dorsolateral prefrontal cortex	Brain
chr1	190596	192102	117.48208	ENCFF300SDH	ENCSR207FYD	dorsolateral prefrontal cortex	Brain
chr1	190600	192084	84.43864	ENCFF761QUK	ENCSR555HJT	dorsolateral prefrontal cortex	Brain
