chrom1	start1	end1	chrom2	start2	end2	sample_name	counts	gene_anno_1	gene_anno_2
chr1	171800000	171810000	chr1	171980000	171990000	GSM1267196	31	AL031864.1	NA
chr2	181750000	181760000	chr2	181890000	181900000	GSM1267196	36	NA	AC009962.1,ITPRID2
chr21	38170000	38180000	chr21	38350000	38360000	GSM1267196	28	NA	NA
chr3	187310000	187320000	chr3	187670000	187680000	GSM1267196	34	NA	SST
chr7	122210000	122220000	chr7	122530000	122540000	GSM1267196	24	AC015983.2	NA
chr8	100710000	100720000	chr8	100830000	100840000	GSM1267196	29	NA	RNU4-83P
chr9	72030000	72040000	chr9	72270000	72280000	GSM1267196	24	NA	AL135924.1
chr1	89050000	89060000	chr1	89420000	89430000	GSM1267198	34	NA	NA
chr10	27280000	27290000	chr10	27960000	27970000	GSM1267198	13	NA	NA
chr12	63540000	63550000	chr12	63740000	63750000	GSM1267198	13	NA	NA
chr19	19820000	19830000	chr19	20160000	20170000	GSM1267198	34	AC011477.4,ZNF506	ZNF486
chr19	42970000	42980000	chr19	43130000	43140000	GSM1267198	11	AC004784.1	NA
chr2	157770000	157780000	chr2	158000000	158010000	GSM1267198	28	NA	NA
chr22	25270000	25280000	chr22	25520000	25530000	GSM1267198	15	NA	NA
chr7	26850000	26860000	chr7	27130000	27140000	GSM1267198	27	NA	HOXA-AS3,HOXA4
chr7	94280000	94290000	chr7	94400000	94410000	GSM1267198	33	NA	NA
chr9	83880000	83890000	chr9	85840000	85850000	GSM1267198	19	NA	NA
chr1	65960000	65970000	chr1	66230000	66240000	GSM1267199	28	NA	NA
chr1	192810000	192820000	chr1	193010000	193020000	GSM1267199	47	RGS2	NA
chr11	84390000	84400000	chr11	84530000	84540000	GSM1267199	48	NA	NA
chr12	84880000	84890000	chr12	85030000	85040000	GSM1267199	36	NA	LRRIQ1,TSPAN19
chr14	61290000	61300000	chr14	61450000	61460000	GSM1267199	28	NA	NA
chr19	19820000	19830000	chr19	20160000	20170000	GSM1267199	14	AC011477.4,ZNF506	ZNF486
chr2	186500000	186510000	chr2	186640000	186650000	GSM1267199	31	NA	NA
chr20	23930000	23940000	chr20	24160000	24170000	GSM1267199	24	NA	NA
chr3	2010000	2020000	chr3	2160000	2170000	GSM1267199	34	NA	NA
chr3	64020000	64030000	chr3	64480000	64490000	GSM1267199	16	AC012557.2,PSMD6	NA
chr3	111710000	111720000	chr3	111960000	111970000	GSM1267199	48	NA	NA
chr4	78610000	78620000	chr4	78860000	78870000	GSM1267199	32	NA	NA
chr4	167010000	167020000	chr4	167290000	167300000	GSM1267199	30	NA	NA
chr5	126350000	126360000	chr5	126540000	126550000	GSM1267199	52	GRAMD2B	NA
chr6	71380000	71390000	chr6	71500000	71510000	GSM1267199	39	AL136164.3	NA
chr6	154860000	154870000	chr6	155170000	155180000	GSM1267199	21	NA	NA
chr7	25250000	25260000	chr7	25390000	25400000	GSM1267199	32	AC004129.3	NA
chr7	61800000	61810000	chr7	62210000	62220000	GSM1267199	15	NA	NA
chr8	81000000	81010000	chr8	81230000	81240000	GSM1267199	34	NA	NA
chr8	91230000	91240000	chr8	91390000	91400000	GSM1267199	32	NA	NA
chr8	24240000	24250000	chr8	24410000	24420000	GSM1267199	36	NA	NA
chr9	27720000	27730000	chr9	28060000	28070000	GSM1267199	35	NA	NA
chr9	83880000	83890000	chr9	85840000	85850000	GSM1267199	27	NA	NA
chr1	42920000	42930000	chr1	43070000	43080000	GSM1267200	22	NA	NA
chr1	66260000	66270000	chr1	66440000	66450000	GSM1267200	17	NA	NA
chr1	221260000	221270000	chr1	221430000	221440000	GSM1267200	43	NA	NA
chr11	43900000	43910000	chr11	44040000	44050000	GSM1267200	52	NA	ACCSL
