chrom	start	end	sample_name	value
chr1	600000	700000	GSM1023732	0.08
chr1	800000	900000	GSM1023732	0.77
chr1	1100000	1200000	GSM1023732	1.33
chr1	1500000	1600000	GSM1023732	1.58
chr1	1800000	1900000	GSM1023732	1.05
chr1	1900000	2000000	GSM1023732	1.18
chr1	2000000	2100000	GSM1023732	0.84
chr1	2100000	2200000	GSM1023732	0.77
chr1	2200000	2300000	GSM1023732	1.11
chr1	2300000	2400000	GSM1023732	0.85
chr1	2900000	3000000	GSM1023732	-1.33
chr1	3000000	3100000	GSM1023732	-1.21
chr1	3200000	3300000	GSM1023732	-0.3
chr1	3300000	3400000	GSM1023732	-0.18
chr1	3400000	3500000	GSM1023732	-0.31
chr1	3500000	3600000	GSM1023732	0.77
chr1	3600000	3700000	GSM1023732	0.75
chr1	3700000	3800000	GSM1023732	0.84
chr1	3800000	3900000	GSM1023732	0.37
chr1	3900000	4000000	GSM1023732	-0.89
chr1	4000000	4100000	GSM1023732	-0.99
chr1	4100000	4200000	GSM1023732	-1.15
chr1	4200000	4300000	GSM1023732	-1.1
chr1	4400000	4500000	GSM1023732	-0.93
chr1	4500000	4600000	GSM1023732	-0.92
chr1	4600000	4700000	GSM1023732	-0.55
chr1	4700000	4800000	GSM1023732	-0.52
chr1	4800000	4900000	GSM1023732	-1.07
chr1	4900000	5000000	GSM1023732	-1.0
chr1	5000000	5100000	GSM1023732	-0.8
chr1	5100000	5200000	GSM1023732	-1.05
chr1	5200000	5300000	GSM1023732	-0.67
chr1	5300000	5400000	GSM1023732	-0.78
chr1	5400000	5500000	GSM1023732	-0.82
chr1	5500000	5600000	GSM1023732	-1.14
chr1	5600000	5700000	GSM1023732	-0.95
chr1	5700000	5800000	GSM1023732	-1.09
chr1	5800000	5900000	GSM1023732	-1.49
chr1	5900000	6000000	GSM1023732	-0.11
chr1	6000000	6100000	GSM1023732	-0.02
chr1	6100000	6200000	GSM1023732	0.64
chr1	6200000	6300000	GSM1023732	0.34
chr1	6400000	6500000	GSM1023732	1.19
chr1	6500000	6600000	GSM1023732	0.66
chr1	6600000	6700000	GSM1023732	0.31
chr1	6700000	6800000	GSM1023732	-0.07
chr1	6800000	6900000	GSM1023732	-0.03
chr1	6900000	7000000	GSM1023732	-0.25
chr1	7000000	7100000	GSM1023732	-0.44
chr1	7100000	7200000	GSM1023732	-0.16
chr1	7200000	7300000	GSM1023732	-0.04
chr1	7300000	7400000	GSM1023732	-0.02
chr1	7400000	7500000	GSM1023732	0.44
chr1	7500000	7600000	GSM1023732	-0.32
chr1	7700000	7800000	GSM1023732	-0.21
chr1	7800000	7900000	GSM1023732	0.33
chr1	7900000	8000000	GSM1023732	0.34
chr1	8000000	8100000	GSM1023732	0.82
chr1	8100000	8200000	GSM1023732	0.93
chr1	8200000	8300000	GSM1023732	1.05
chr1	8300000	8400000	GSM1023732	0.58
chr1	8400000	8500000	GSM1023732	0.52
chr1	8500000	8600000	GSM1023732	0.96
chr1	8600000	8700000	GSM1023732	0.63
chr1	8700000	8800000	GSM1023732	0.96
chr1	8800000	8900000	GSM1023732	0.96
chr1	8900000	9000000	GSM1023732	1.07
chr1	9000000	9100000	GSM1023732	1.14
chr1	9200000	9300000	GSM1023732	1.08
chr1	9300000	9400000	GSM1023732	0.93
chr1	9400000	9500000	GSM1023732	1.34
chr1	9500000	9600000	GSM1023732	1.13
chr1	9600000	9700000	GSM1023732	1.19
chr1	9800000	9900000	GSM1023732	0.69
chr1	600000	700000	GSM1023733	-0.31
chr1	800000	900000	GSM1023733	0.37
chr1	1100000	1200000	GSM1023733	1.41
chr1	1500000	1600000	GSM1023733	0.96
chr1	1800000	1900000	GSM1023733	1.57
chr1	1900000	2000000	GSM1023733	1.31
chr1	2000000	2100000	GSM1023733	1.05
chr1	2100000	2200000	GSM1023733	1.21
chr1	2200000	2300000	GSM1023733	0.61
chr1	2300000	2400000	GSM1023733	0.95
chr1	2900000	3000000	GSM1023733	-0.18
chr1	3000000	3100000	GSM1023733	0.15
chr1	3200000	3300000	GSM1023733	-0.04
chr1	3300000	3400000	GSM1023733	0.28
chr1	3400000	3500000	GSM1023733	0.55
chr1	3500000	3600000	GSM1023733	1.01
chr1	3600000	3700000	GSM1023733	1.18
