chrom1	pos1	pos2	chrom2	pos3	pos4	id	pvalue	gene_anno_1	gene_anno_2	chipseq_anno_1	chipseq_anno_2	stripe_type
chr3	187730001	187750000	chr3	187730001	188975000	GSM1267200	0.001	AC072022.2,BCL6	AC022498.1,AC068295.1,AC072022.2,AC092941.1,AC092941.2,AC108681.1,BCL6,FLJ42393,LINC01991,LPP,LPP-AS1,LPP-AS2,MIR28,TPRG1,TPRG1-AS1	chr3:187730001-187750000,chr3:187730001-187750000,chr3:187730001-187750000,chr3:187730001-187750000,chr3:187730001-187750000	NA	ctcf
chr17	64735001	64755000	chr17	64525001	64755000	GSM1267200	0.001	AC132812.1,MINOS1P2	AC009994.1,AC132812.1,MINOS1P2,SMURF2	chr17:64735001-64755000,chr17:64735001-64755000	NA	ctcf
chr16	46940001	46965000	chr16	46940001	48330000	GSM1267200	0.012	NA	ABCC11,ABCC12,AC007494.1,AC007494.2,AC007494.3,AC007533.1,AC007599.1,AC007599.2,AC018845.1,AC018845.2,AC018845.3,AC096996.1,AC096996.2,AC141846.1,DNAJA2,EIF4BP5,ITFG1,ITFG1-AS1,LINC02133,LINC02134,LINC02192,LONP2,NDUFA5P11,NETO2,PHKB,RF00019,RNA5SP425,RPL23AP72	chr16:46940001-46965000	NA	ctcf
chr8	118740001	118760000	chr8	118740001	119435000	GSM1267200	0.001	RPS26P35	AC107953.1,AC107953.2,COLEC10,MAL2,MAL2-AS1,MIR548AZ,NOV,RF00421,RNU6-12P,RPS26P35,TNFRSF11B	chr8:118740001-118760000	NA	ctcf
chr8	97250001	97270000	chr8	97250001	97620000	GSM1267200	0.001	NA	SNORD3H,TSPYL5	chr8:97250001-97270000	NA	ctcf
chr11	27185001	27205000	chr11	27185001	27485000	GSM1267200	0.001	NA	AC100771.1,AC100771.2,BBOX1-AS1,CCDC34,LGR4	chr11:27185001-27205000	NA	ctcf
chr1	178995001	179015000	chr1	178345001	179015000	GSM1267200	0.001	NA	AL137796.1,AL365357.1,AL449106.1,AL513013.1,ANGPTL1,C1orf220,CLEC20A,MIR4424,PTPN2P1,RALGPS2,RF00017,RF00092,RNA5SP69,TEX35	chr1:178995001-179015000	NA	ctcf
chrX	11530001	11550000	chrX	11530001	11785000	GSM1267200	0.032	NA	AC004554.1,AC004554.2,ARHGAP6,MSL3	chrX:11530001-11550000,chrX:11530001-11550000	NA	ctcf
chr15	89855001	89875000	chr15	89715001	89875000	GSM1267200	0.001	AC027176.2	AC027176.2,ANPEP,MESP1,MESP2,MIR5094,MRPL15P1,RNU6-132P	chr15:89855001-89875000,chr15:89855001-89875000	NA	ctcf
chr1	46030001	46050000	chr1	46030001	46220000	GSM1267200	0.001	AL358075.1	AL358075.1,AL358075.2,AL358075.3,AL358075.4,AL672043.1,LURAP1,PIK3R3,POMGNT1,TSPAN1	chr1:46030001-46050000	NA	ctcf
